user_id,state,age,gender,caste,residential,annual_salary,occupation,minority,marital_status,disability
61,Uttar Pradesh,34,Female,General,Rural,44388,Farmer,No,Married,No
62,Rajasthan,23,Female,General,Rural,176716,Farmer,No,Married,Yes
63,Madhya Pradesh,59,Male,SC,Urban,140312,Employed,Yes,Unmarried,Yes
64,Uttar Pradesh,25,Female,ST,Rural,45710,Farmer,No,Married,Yes
65,Telangana,30,Other,SC,Urban,326699,Employed,No,Widowed,No
66,Andhra Pradesh,62,Other,ST,Rural,57294,Farmer,No,Married,Yes
67,Rajasthan,45,Female,SC,Rural,16268,Farmer,No,Married,No
68,Maharashtra,58,Other,General,Urban,1396971,Government Employee,No,Widowed,No
69,Telangana,64,Male,General,Urban,775921,Employed,No,Married,No
70,Andhra Pradesh,54,Female,ST,Rural,89414,Farmer,No,Married,Yes
71,Andhra Pradesh,34,Male,ST,Rural,140650,Farmer,No,Married,Yes
72,Maharashtra,49,Female,ST,Urban,362396,Self-employed,No,Married,No
73,Rajasthan,32,Female,SC,Rural,57402,Farmer,No,Married,No
74,Andhra Pradesh,47,Female,OBC,Rural,59312,Farmer,No,Married,Yes
75,Madhya Pradesh,65,Other,ST,Rural,161453,Farmer,No,Married,No
76,Maharashtra,41,Male,ST,Rural,4449,Farmer,No,Married,Yes
77,Telangana,26,Other,OBC,Urban,1678719,Employed,No,Married,No
78,Andhra Pradesh,30,Male,General,Urban,566536,Employed,No,Widowed,No
79,Andhra Pradesh,61,Male,SC,Rural,35199,Farmer,No,Unmarried,Yes
80,Maharashtra,57,Female,General,Urban,1435096,Employed,No,Married,No
81,Bihar,65,Other,SC,Rural,139962,Farmer,No,Married,Yes
82,Uttar Pradesh,22,Female,ST,Rural,85672,Farmer,No,Married,Yes
83,Uttar Pradesh,62,Other,OBC,Urban,199419,Employed,No,Married,Yes
84,Andhra Pradesh,59,Male,SC,Rural,62669,Farmer,Yes,Married,No
85,Telangana,47,Other,OBC,Urban,1567447,Employed,No,Married,No
86,Andhra Pradesh,45,Other,SC,Rural,614735,Self-employed,Yes,Married,Yes
87,Rajasthan,29,Other,OBC,Rural,659841,Self-employed,No,Married,No
88,Madhya Pradesh,48,Male,General,Urban,764148,Government Employee,No,Married,No
89,Andhra Pradesh,43,Female,General,Rural,564136,Self-employed,No,Married,No
90,Maharashtra,18,Other,General,Urban,1485481,Employed,No,Married,No
91,Telangana,21,Other,General,Rural,1251797,Employed,No,Married,No
92,Maharashtra,56,Other,SC,Urban,2026226,Government Employee,No,Married,No
93,Maharashtra,25,Other,ST,Urban,535612,Government Employee,No,Married,No
94,Telangana,48,Male,OBC,Urban,611140,Employed,No,Widowed,Yes
95,Rajasthan,68,Male,SC,Urban,80186,Farmer,No,Married,No
96,Madhya Pradesh,55,Female,OBC,Urban,957822,Employed,No,Widowed,No
97,Bihar,38,Female,General,Rural,546966,Self-employed,No,Married,Yes
98,Bihar,42,Male,General,Urban,1044299,Employed,No,Married,No
99,Maharashtra,55,Other,ST,Rural,31570,Farmer,No,Married,No
100,Maharashtra,59,Female,ST,Rural,23538,Farmer,No,Widowed,No
101,Madhya Pradesh,61,Female,SC,Urban,762396,Employed,No,Married,Yes
102,Telangana,61,Male,SC,Rural,59634,Farmer,No,Widowed,Yes
103,Andhra Pradesh,19,Male,ST,Rural,13239,Farmer,No,Unmarried,Yes
104,Telangana,29,Other,General,Urban,265608,Employed,No,Married,Yes
105,Andhra Pradesh,58,Female,ST,Rural,60238,Farmer,No,Married,No
106,Madhya Pradesh,40,Female,ST,Rural,66657,Farmer,No,Widowed,No
107,Rajasthan,42,Other,OBC,Rural,25162,Farmer,No,Married,No
108,Madhya Pradesh,22,Other,OBC,Rural,15289,Student,No,Unmarried,Yes
109,Telangana,36,Other,General,Urban,582593,Employed,No,Married,Yes
110,Telangana,64,Other,OBC,Urban,1527856,Employed,No,Married,Yes
111,Bihar,21,Female,General,Rural,33596,Student,No,Unmarried,No
112,Uttar Pradesh,52,Male,ST,Rural,76725,Farmer,No,Married,No
113,Rajasthan,36,Male,General,Urban,819303,Government Employee,No,Married,Yes
114,Rajasthan,64,Female,ST,Urban,840088,Employed,No,Married,Yes
115,Rajasthan,27,Other,General,Urban,7289,Student,No,Unmarried,No
116,Telangana,41,Other,General,Urban,590360,Employed,No,Married,No
117,Telangana,58,Male,ST,Rural,183783,Farmer,No,Married,Yes
118,Maharashtra,25,Other,OBC,Urban,1592779,Government Employee,No,Married,No
119,Telangana,59,Female,ST,Urban,178279,Daily Wage Worker,No,Married,Yes
120,Madhya Pradesh,46,Other,OBC,Rural,80813,Farmer,No,Widowed,No
121,Maharashtra,30,Other,General,Rural,1097071,Self-employed,No,Widowed,Yes
122,Maharashtra,26,Male,OBC,Rural,64551,Farmer,No,Married,Yes
123,Rajasthan,27,Male,ST,Rural,140609,Farmer,No,Married,Yes
124,Telangana,25,Male,OBC,Rural,154064,Employed,No,Married,No
125,Maharashtra,26,Female,ST,Rural,165492,Farmer,Yes,Married,No
126,Telangana,32,Other,SC,Rural,11367,Farmer,No,Widowed,No
127,Andhra Pradesh,48,Female,SC,Rural,100570,Farmer,No,Married,Yes
128,Maharashtra,22,Female,OBC,Urban,1691145,Employed,No,Married,No
129,Telangana,56,Other,OBC,Urban,1763243,Employed,No,Married,Yes
130,Andhra Pradesh,44,Female,General,Rural,151993,Daily Wage Worker,No,Married,No
131,Bihar,27,Male,OBC,Rural,87028,Farmer,No,Married,No
132,Maharashtra,53,Female,OBC,Urban,1533278,Employed,No,Unmarried,No
133,Rajasthan,64,Other,General,Urban,632881,Employed,No,Unmarried,Yes
134,Uttar Pradesh,24,Other,General,Rural,116656,Farmer,No,Married,Yes
135,Rajasthan,57,Other,General,Urban,1303053,Employed,No,Married,No
136,Maharashtra,66,Male,ST,Rural,106898,Farmer,No,Married,No
137,Maharashtra,19,Female,ST,Urban,1455002,Employed,No,Married,Yes
138,Bihar,54,Other,OBC,Rural,683375,Self-employed,No,Married,Yes
139,Madhya Pradesh,60,Other,SC,Rural,135269,Farmer,No,Married,Yes
140,Bihar,61,Male,General,Rural,89296,Farmer,No,Married,No
141,Telangana,19,Female,SC,Urban,13843,Student,No,Unmarried,No
142,Maharashtra,45,Other,SC,Rural,119602,Farmer,No,Married,No
143,Maharashtra,20,Other,General,Urban,1277008,Employed,No,Married,No
144,Telangana,44,Other,General,Rural,949414,Employed,No,Married,No
145,Rajasthan,24,Female,OBC,Rural,138932,Farmer,No,Married,No
146,Uttar Pradesh,22,Female,OBC,Urban,271304,Employed,No,Married,No
147,Madhya Pradesh,27,Other,ST,Rural,38658,Farmer,No,Married,Yes
148,Uttar Pradesh,54,Other,General,Urban,416568,Self-employed,No,Married,No
149,Rajasthan,22,Male,OBC,Rural,148961,Farmer,No,Married,No
150,Telangana,46,Male,SC,Rural,96662,Farmer,Yes,Unmarried,No
151,Andhra Pradesh,69,Male,SC,Rural,44410,Farmer,No,Married,Yes
152,Andhra Pradesh,39,Male,SC,Urban,249165,Employed,Yes,Widowed,No
153,Andhra Pradesh,36,Other,ST,Rural,79830,Farmer,Yes,Married,No
154,Maharashtra,61,Other,OBC,Rural,79270,Farmer,No,Married,Yes
155,Bihar,30,Female,SC,Urban,56927,Farmer,No,Widowed,Yes
156,Telangana,42,Other,SC,Rural,86108,Farmer,No,Married,Yes
157,Madhya Pradesh,19,Female,General,Urban,406332,Employed,No,Married,Yes
158,Uttar Pradesh,36,Other,ST,Rural,21210,Farmer,No,Married,Yes
159,Madhya Pradesh,57,Other,OBC,Rural,756532,Employed,No,Married,Yes
160,Madhya Pradesh,21,Other,General,Urban,37677,Student,No,Unmarried,No
161,Rajasthan,33,Other,General,Urban,110654,Farmer,No,Married,No
162,Andhra Pradesh,50,Male,OBC,Urban,395874,Employed,No,Married,No
163,Maharashtra,53,Female,General,Urban,283786,Daily Wage Worker,No,Widowed,Yes
164,Rajasthan,50,Female,ST,Rural,103212,Farmer,No,Married,No
165,Maharashtra,50,Male,General,Urban,121477,Farmer,No,Married,No
166,Maharashtra,26,Other,OBC,Urban,2208163,Employed,No,Unmarried,No
167,Andhra Pradesh,19,Other,SC,Rural,241992,Daily Wage Worker,No,Married,No
168,Maharashtra,25,Male,OBC,Rural,132064,Farmer,No,Unmarried,Yes
169,Rajasthan,19,Female,General,Urban,1175364,Employed,No,Married,Yes
170,Telangana,44,Male,OBC,Rural,175168,Farmer,No,Married,Yes
171,Andhra Pradesh,42,Male,General,Rural,59842,Farmer,No,Widowed,No
172,Uttar Pradesh,65,Other,SC,Rural,303824,Employed,No,Married,Yes
173,Rajasthan,48,Female,General,Urban,1711649,Government Employee,No,Married,Yes
174,Bihar,30,Other,ST,Urban,57911,Farmer,No,Widowed,No
175,Bihar,30,Male,SC,Rural,8771,Farmer,No,Married,No
176,Andhra Pradesh,42,Other,General,Urban,442605,Employed,No,Married,No
177,Rajasthan,23,Male,SC,Rural,821058,Self-employed,No,Married,Yes
178,Bihar,56,Male,OBC,Rural,30578,Farmer,No,Married,No
179,Telangana,21,Other,General,Rural,718480,Self-employed,No,Unmarried,Yes
180,Maharashtra,61,Other,ST,Rural,207573,Employed,No,Married,No
181,Bihar,20,Female,General,Rural,159608,Daily Wage Worker,No,Married,Yes
182,Telangana,43,Other,ST,Rural,73056,Farmer,No,Married,Yes
183,Andhra Pradesh,25,Other,General,Urban,671280,Government Employee,No,Married,No
184,Madhya Pradesh,26,Male,General,Rural,100725,Farmer,No,Married,No
185,Madhya Pradesh,53,Other,OBC,Urban,1673869,Employed,No,Married,Yes
186,Rajasthan,30,Female,OBC,Rural,32764,Farmer,No,Widowed,No
187,Andhra Pradesh,23,Other,ST,Urban,93937,Farmer,No,Unmarried,No
188,Rajasthan,22,Other,General,Urban,688369,Employed,No,Married,No
189,Uttar Pradesh,26,Female,ST,Rural,11620,Farmer,No,Married,Yes
190,Uttar Pradesh,32,Male,OBC,Rural,237321,Daily Wage Worker,No,Married,No
191,Uttar Pradesh,37,Other,OBC,Rural,19592,Farmer,No,Married,Yes
192,Uttar Pradesh,54,Other,OBC,Rural,1529184,Employed,No,Unmarried,No
193,Madhya Pradesh,44,Female,ST,Rural,6748,Farmer,No,Married,No
194,Andhra Pradesh,61,Female,ST,Rural,946035,Employed,Yes,Married,No
195,Andhra Pradesh,56,Female,General,Rural,169482,Farmer,No,Married,No
196,Uttar Pradesh,24,Male,OBC,Rural,97825,Farmer,No,Married,Yes
197,Maharashtra,57,Other,OBC,Urban,641896,Government Employee,No,Married,No
198,Uttar Pradesh,50,Female,ST,Rural,64705,Farmer,Yes,Married,No
199,Uttar Pradesh,21,Other,ST,Rural,103786,Farmer,No,Unmarried,No
200,Bihar,45,Female,SC,Urban,458247,Employed,No,Married,Yes
201,Andhra Pradesh,30,Other,SC,Rural,68089,Farmer,No,Married,No
202,Rajasthan,24,Male,SC,Rural,80000,Farmer,No,Married,Yes
203,Telangana,20,Female,General,Urban,1596510,Employed,No,Unmarried,Yes
204,Telangana,57,Female,ST,Urban,103010,Farmer,No,Married,No
205,Telangana,37,Female,General,Urban,134890,Employed,No,Married,No
206,Rajasthan,34,Other,SC,Rural,136478,Farmer,No,Widowed,No
207,Uttar Pradesh,61,Male,General,Urban,120076,Farmer,No,Married,No
208,Bihar,62,Other,General,Rural,92083,Farmer,No,Married,Yes
209,Madhya Pradesh,53,Male,ST,Rural,147558,Farmer,No,Married,No
210,Telangana,61,Female,OBC,Urban,1611888,Employed,No,Married,No
211,Uttar Pradesh,37,Other,ST,Rural,62413,Farmer,No,Married,No
212,Bihar,68,Female,General,Rural,52809,Farmer,No,Married,No
213,Rajasthan,27,Female,OBC,Urban,112860,Daily Wage Worker,No,Married,No
214,Madhya Pradesh,70,Other,General,Rural,125229,Farmer,No,Married,Yes
215,Uttar Pradesh,51,Other,SC,Rural,48828,Farmer,No,Married,No
216,Maharashtra,27,Female,ST,Urban,12420,Student,No,Unmarried,No
217,Madhya Pradesh,36,Other,ST,Rural,143920,Farmer,No,Married,Yes
218,Telangana,29,Female,SC,Rural,269573,Daily Wage Worker,No,Married,No
219,Uttar Pradesh,18,Female,OBC,Rural,1091301,Employed,No,Married,No
220,Madhya Pradesh,26,Female,General,Urban,919283,Employed,No,Married,Yes
221,Madhya Pradesh,63,Other,General,Urban,1398079,Employed,No,Married,Yes
222,Uttar Pradesh,50,Male,General,Urban,752486,Employed,No,Married,No
223,Bihar,22,Female,ST,Urban,10804,Student,No,Unmarried,No
224,Telangana,41,Male,SC,Rural,16285,Farmer,No,Married,No
225,Madhya Pradesh,58,Male,OBC,Urban,610927,Employed,No,Widowed,No
226,Uttar Pradesh,56,Other,General,Urban,1257660,Employed,No,Married,Yes
227,Rajasthan,56,Female,ST,Rural,19314,Farmer,No,Married,Yes
228,Telangana,53,Female,SC,Rural,52994,Farmer,Yes,Widowed,No
229,Maharashtra,49,Male,ST,Rural,702200,Self-employed,Yes,Married,No
230,Andhra Pradesh,61,Male,SC,Rural,170642,Farmer,No,Married,Yes
231,Telangana,40,Male,SC,Urban,141862,Farmer,No,Married,No
232,Maharashtra,26,Female,OBC,Urban,977658,Self-employed,No,Married,No
233,Rajasthan,61,Female,General,Urban,870332,Self-employed,No,Widowed,Yes
234,Uttar Pradesh,64,Female,General,Rural,740298,Self-employed,No,Widowed,No
235,Madhya Pradesh,32,Other,General,Rural,702056,Employed,No,Married,Yes
236,Maharashtra,19,Other,General,Rural,289342,Employed,No,Married,Yes
237,Uttar Pradesh,32,Other,SC,Rural,158205,Farmer,Yes,Married,No
238,Uttar Pradesh,61,Other,OBC,Rural,238728,Self-employed,No,Married,Yes
239,Andhra Pradesh,53,Female,OBC,Urban,173457,Farmer,No,Widowed,No
240,Maharashtra,60,Male,OBC,Urban,1559853,Government Employee,No,Married,No
241,Andhra Pradesh,48,Female,ST,Rural,257661,Self-employed,No,Married,Yes
242,Telangana,53,Other,General,Urban,1014573,Government Employee,No,Married,Yes
243,Andhra Pradesh,64,Other,OBC,Rural,12159,Farmer,No,Married,Yes
244,Rajasthan,66,Female,SC,Rural,158414,Farmer,No,Married,No
245,Maharashtra,25,Other,ST,Rural,297291,Daily Wage Worker,No,Married,Yes
246,Andhra Pradesh,67,Female,ST,Rural,110001,Farmer,No,Married,No
247,Telangana,64,Female,General,Urban,1861043,Employed,No,Married,No
248,Maharashtra,19,Male,ST,Urban,1589763,Employed,No,Married,Yes
249,Bihar,33,Female,ST,Urban,120120,Farmer,No,Married,No
250,Andhra Pradesh,40,Other,ST,Rural,169942,Farmer,No,Married,Yes
251,Telangana,30,Male,SC,Rural,1501349,Employed,Yes,Widowed,Yes
252,Maharashtra,26,Other,ST,Rural,35862,Student,No,Unmarried,No
253,Madhya Pradesh,27,Other,General,Urban,30729,Student,No,Unmarried,No
254,Telangana,70,Male,OBC,Rural,112872,Farmer,No,Married,Yes
255,Telangana,57,Female,ST,Rural,92914,Farmer,No,Married,No
256,Andhra Pradesh,32,Other,ST,Urban,1742914,Government Employee,No,Married,Yes
257,Maharashtra,53,Female,General,Rural,861213,Self-employed,No,Married,No
258,Madhya Pradesh,30,Other,OBC,Rural,80425,Self-employed,No,Widowed,No
259,Bihar,61,Male,SC,Urban,1390195,Employed,No,Widowed,No
260,Maharashtra,66,Other,ST,Urban,125292,Farmer,No,Married,Yes
261,Telangana,52,Other,General,Urban,1684627,Employed,No,Married,Yes
262,Telangana,45,Other,OBC,Rural,19927,Farmer,No,Married,No
263,Rajasthan,35,Female,OBC,Rural,106298,Farmer,No,Married,No
264,Uttar Pradesh,57,Male,General,Rural,51684,Farmer,No,Married,No
265,Madhya Pradesh,38,Female,ST,Rural,20392,Farmer,No,Married,No
266,Maharashtra,45,Male,ST,Rural,174505,Farmer,No,Married,No
267,Telangana,38,Male,SC,Urban,125880,Employed,No,Married,Yes
268,Telangana,28,Male,ST,Urban,731518,Employed,No,Married,No
269,Bihar,68,Female,General,Urban,46186,Farmer,No,Unmarried,Yes
270,Andhra Pradesh,30,Female,SC,Rural,78379,Farmer,No,Widowed,No
271,Bihar,59,Other,General,Urban,269831,Employed,No,Widowed,Yes
272,Andhra Pradesh,43,Other,OBC,Rural,68760,Farmer,No,Widowed,Yes
273,Bihar,68,Other,General,Urban,20898,Farmer,No,Married,Yes
274,Madhya Pradesh,47,Other,SC,Rural,89214,Daily Wage Worker,No,Widowed,Yes
275,Rajasthan,26,Female,General,Urban,546799,Employed,No,Married,No
276,Maharashtra,48,Other,General,Urban,1584778,Government Employee,No,Married,No
277,Telangana,41,Male,SC,Urban,1803510,Employed,No,Married,Yes
278,Rajasthan,40,Other,ST,Rural,144548,Farmer,No,Married,No
279,Rajasthan,45,Other,OBC,Rural,68264,Daily Wage Worker,No,Married,Yes
280,Andhra Pradesh,67,Male,OBC,Rural,162893,Farmer,No,Married,No
281,Maharashtra,23,Female,OBC,Rural,978741,Self-employed,No,Married,Yes
282,Telangana,24,Male,General,Urban,1561218,Employed,No,Married,Yes
283,Maharashtra,61,Male,OBC,Urban,1983502,Employed,No,Married,No
284,Telangana,32,Female,General,Urban,1520703,Government Employee,No,Married,No
285,Maharashtra,45,Other,ST,Rural,221690,Farmer,No,Married,Yes
286,Telangana,52,Other,SC,Rural,783639,Employed,Yes,Married,No
287,Telangana,57,Other,OBC,Urban,339562,Employed,No,Married,Yes
288,Rajasthan,55,Male,OBC,Urban,342817,Employed,No,Married,Yes
289,Bihar,44,Other,ST,Rural,105476,Farmer,No,Married,Yes
290,Telangana,26,Male,ST,Rural,118227,Farmer,No,Married,No
291,Uttar Pradesh,53,Other,ST,Rural,103802,Farmer,No,Married,No
292,Andhra Pradesh,19,Other,ST,Rural,52029,Farmer,No,Married,No
293,Uttar Pradesh,49,Other,General,Urban,269936,Employed,No,Married,No
294,Telangana,46,Male,SC,Rural,991614,Employed,No,Married,No
295,Rajasthan,40,Male,SC,Rural,20521,Farmer,No,Married,Yes
296,Rajasthan,57,Male,OBC,Urban,403279,Employed,No,Married,Yes
297,Telangana,56,Other,OBC,Urban,778750,Employed,No,Married,No
298,Rajasthan,66,Male,SC,Urban,13986,Farmer,No,Married,Yes
299,Uttar Pradesh,33,Other,ST,Rural,141816,Farmer,No,Married,No
300,Madhya Pradesh,22,Other,General,Urban,826946,Self-employed,No,Married,No
301,Madhya Pradesh,49,Male,OBC,Rural,550,Farmer,No,Married,No
302,Madhya Pradesh,52,Female,OBC,Urban,850872,Employed,No,Married,No
303,Bihar,49,Other,ST,Rural,125248,Farmer,Yes,Married,No
304,Maharashtra,28,Other,SC,Urban,60212,Daily Wage Worker,No,Married,Yes
305,Madhya Pradesh,35,Other,OBC,Rural,80312,Farmer,No,Married,Yes
306,Maharashtra,64,Male,General,Urban,709242,Employed,No,Married,Yes
307,Uttar Pradesh,55,Female,General,Rural,142602,Farmer,No,Married,Yes
308,Rajasthan,48,Male,General,Rural,813019,Employed,No,Unmarried,No
309,Bihar,67,Male,OBC,Rural,24432,Farmer,No,Married,Yes
310,Telangana,64,Other,ST,Rural,196154,Farmer,No,Married,No
311,Rajasthan,24,Female,ST,Rural,29055,Farmer,No,Married,No
312,Rajasthan,59,Female,ST,Rural,130562,Farmer,No,Married,Yes
313,Rajasthan,56,Male,OBC,Rural,176437,Farmer,No,Married,No
314,Andhra Pradesh,58,Female,SC,Rural,124638,Farmer,Yes,Married,No
315,Uttar Pradesh,54,Male,General,Urban,996633,Employed,No,Married,Yes
316,Telangana,16,Female,SC,Urban,2610,Student,No,Unmarried,No
317,Madhya Pradesh,43,Male,General,Urban,520733,Self-employed,No,Married,No
318,Maharashtra,27,Other,ST,Urban,1223307,Government Employee,No,Married,Yes
319,Bihar,33,Other,General,Urban,196560,Employed,No,Unmarried,Yes
320,Bihar,63,Other,ST,Rural,2082,Farmer,No,Married,No
321,Uttar Pradesh,67,Male,OBC,Rural,153707,Farmer,No,Married,No
322,Rajasthan,22,Other,General,Rural,136048,Farmer,No,Married,No
323,Maharashtra,28,Other,General,Urban,762020,Employed,No,Married,Yes
324,Uttar Pradesh,18,Male,SC,Rural,98936,Farmer,No,Married,Yes
325,Telangana,33,Other,General,Rural,805276,Self-employed,No,Married,No
326,Maharashtra,69,Female,SC,Urban,14446,Farmer,Yes,Married,No
327,Rajasthan,53,Female,OBC,Rural,87038,Farmer,No,Married,Yes
328,Andhra Pradesh,49,Male,OBC,Rural,1554435,Employed,No,Widowed,Yes
329,Maharashtra,27,Male,General,Urban,27243,Student,No,Unmarried,No
330,Maharashtra,64,Female,General,Urban,636387,Employed,No,Married,Yes
331,Uttar Pradesh,32,Female,OBC,Rural,109000,Farmer,No,Widowed,Yes
332,Telangana,58,Other,SC,Urban,128465,Self-employed,Yes,Married,Yes
333,Uttar Pradesh,38,Female,OBC,Rural,82408,Farmer,No,Widowed,No
334,Bihar,30,Female,ST,Rural,107293,Farmer,No,Married,No
335,Bihar,40,Male,General,Rural,38101,Farmer,No,Widowed,Yes
336,Uttar Pradesh,62,Male,OBC,Urban,440744,Employed,No,Married,Yes
337,Bihar,61,Female,General,Urban,636948,Self-employed,No,Married,No
338,Telangana,24,Male,ST,Rural,36645,Farmer,Yes,Married,Yes
339,Uttar Pradesh,58,Male,General,Urban,110496,Self-employed,No,Widowed,Yes
340,Maharashtra,46,Female,ST,Urban,88933,Daily Wage Worker,No,Married,Yes
341,Maharashtra,54,Other,General,Rural,227886,Farmer,No,Married,No
342,Uttar Pradesh,29,Other,OBC,Rural,93535,Farmer,No,Married,Yes
343,Madhya Pradesh,53,Male,OBC,Rural,120684,Self-employed,No,Married,Yes
344,Madhya Pradesh,63,Other,SC,Urban,1140645,Government Employee,No,Married,No
345,Andhra Pradesh,38,Male,OBC,Rural,6912,Farmer,No,Married,No
346,Telangana,32,Other,OBC,Urban,309996,Employed,No,Widowed,Yes
347,Rajasthan,69,Other,ST,Rural,40983,Farmer,No,Married,No
348,Telangana,40,Female,SC,Rural,1281968,Employed,No,Widowed,No
349,Uttar Pradesh,11,Female,General,Urban,12196,Student,No,Unmarried,Yes
350,Bihar,39,Other,ST,Rural,59378,Farmer,No,Married,Yes
351,Rajasthan,41,Other,SC,Urban,795128,Employed,No,Widowed,Yes
352,Bihar,28,Other,OBC,Rural,80165,Farmer,No,Married,No
353,Uttar Pradesh,55,Male,OBC,Rural,79352,Farmer,No,Married,Yes
354,Madhya Pradesh,54,Other,SC,Urban,214257,Daily Wage Worker,Yes,Married,No
355,Rajasthan,30,Female,ST,Rural,33181,Farmer,Yes,Widowed,No
356,Uttar Pradesh,60,Male,SC,Urban,1567557,Employed,Yes,Married,Yes
357,Madhya Pradesh,68,Female,SC,Rural,284,Farmer,No,Married,Yes
358,Andhra Pradesh,40,Other,General,Urban,68929,Daily Wage Worker,No,Married,Yes
359,Uttar Pradesh,20,Female,General,Rural,66839,Farmer,No,Married,Yes
360,Andhra Pradesh,53,Female,ST,Rural,21965,Farmer,No,Widowed,Yes
361,Andhra Pradesh,45,Female,ST,Rural,23889,Farmer,No,Married,No
362,Madhya Pradesh,24,Male,OBC,Rural,127403,Farmer,No,Unmarried,No
